Species,abbrev,lm_id,martini3,concentration
LPI 20:4,LPI 20:4,['LMGP06050006'],['NA'],0.0024703985621654
LPS 18:0,LPS 18:0,['LMGP03050006'],['NA'],0.0035477033527572
PA 32:2,PA 32:2,['LMGP10010969'],['DOPA'],0.0283727439444567
PA 34:1,PA 34:1,"['LMGP10010482', 'LMGP10010176', 'LMGP10010007', 'LMGP10010509', 'LMGP10010125', 'LMGP10010209', 'LMGP10010063', 'LMGP10010032', 'LMGP10010887', 'LMGP10010528', 'LMGP10010964', 'LMGP10010254', 'LMGP10010724', 'LMGP10010455', 'LMGP10010229', 'LMGP10010100', 'LMGP10010147']",['NA'],0.0526526227726728
PA 34:2,PA 34:2,"['LMGP10010881', 'LMGP10010903']",['DOPA'],0.0884011259235145
PA 34:3,PA 34:3,"['LMGP10010589', 'LMGP10010956', 'LMGP10010559', 'LMGP10010285', 'LMGP10010344', 'LMGP10010102', 'LMGP10010255', 'LMGP10010370', 'LMGP10010902', 'LMGP10010975', 'LMGP10010907', 'LMGP10010127']",['NA'],0.0
PA 36:2,PA 36:2,['LMGP10010962'],['DOPA'],0.0496424140599122
PA 36:3,PA 36:3,"['LMGP10010961', 'LMGP10010293', 'LMGP10010905', 'LMGP10010375', 'LMGP10010488', 'LMGP10010314', 'LMGP10010134', 'LMGP10010563', 'LMGP10010758', 'LMGP10010313', 'LMGP10010405', 'LMGP10010593', 'LMGP10010348', 'LMGP10010216']",['NA'],0.0032731075077603
PA 38:2,PA 38:2,"['LMGP10010198', 'LMGP10010952', 'LMGP10010496', 'LMGP10010683', 'LMGP10010965', 'LMGP10010538', 'LMGP10010567', 'LMGP10010959', 'LMGP10010761', 'LMGP10010354', 'LMGP10010731', 'LMGP10010221', 'LMGP10010300']",['NA'],0.0
PA 38:3,PA 38:3,"['LMGP10010411', 'LMGP10010598', 'LMGP10010222', 'LMGP10010516', 'LMGP10010885', 'LMGP10010332', 'LMGP10010762', 'LMGP10010539', 'LMGP10010383', 'LMGP10010568', 'LMGP10010517', 'LMGP10010355']",['NA'],0.000824978894278
PA 38:4,PA 38:4,"['LMGP10010024', 'LMGP10010333', 'LMGP10010599', 'LMGP10010384', 'LMGP10010628', 'LMGP10010540', 'LMGP10010356', 'LMGP10010412', 'LMGP10010951', 'LMGP10010541', 'LMGP10010442', 'LMGP10010569', 'LMGP10010970', 'LMGP10010792']",['NA'],5.16034814978771e-05
PAO- 32:0,PA O-32:0,"['LMGP10020084', 'LMGP10020042', 'LMGP10020021']",['NA'],0.0002376421040566
PC 28:0,PC 28:0,"['LMGP01010435', 'LMGP01010477']","['LPPC', 'DLPC']",0.484205120724361
PC 30:0,PC 30:0,"['LMGP01010461', 'LMGP01010530', 'LMGP01010969', 'LMGP01010416', 'LMGP01011265', 'LMGP01010995', 'LMGP01010736', 'LMGP01010395', 'LMGP01010481', 'LMGP01010560', 'LMGP01010438', 'LMGP01010702']",['NA'],2.32436415965404
PC 30:1,PC 30:1,"['LMGP01011522', 'LMGP01011435', 'LMGP01011412', 'LMGP01011475', 'LMGP01010440', 'LMGP01011595', 'LMGP01010485', 'LMGP01011384', 'LMGP01011344', 'LMGP01011463']",['NA'],1.91085484212716
PC 32:0,PC 32:0,['LMGP01010564'],['DPPC'],0.867042705332694
PC 32:1,PC 32:1,"['LMGP01011389', 'LMGP01011413', 'LMGP01011582', 'LMGP01011500', 'LMGP01011479', 'LMGP01011525', 'LMGP01011805', 'LMGP01012145', 'LMGP01010490', 'LMGP01010566', 'LMGP01011352', 'LMGP01011439', 'LMGP01010882', 'LMGP01011329', 'LMGP01010492', 'LMGP01011757']",['NA'],14.1028740152082
PC 32:2,PC 32:2,['LMGP01010684'],['DOPC'],2.81225425196442
PC 32:3,PC 32:3,"['LMGP01011673', 'LMGP01011866', 'LMGP01011617', 'LMGP01011441', 'LMGP01010497', 'LMGP01011642', 'LMGP01011331', 'LMGP01011391', 'LMGP01011369', 'LMGP01011556']",['NA'],0.174769748659488
PC 34:1,PC 34:1,"['LMGP01012004', 'LMGP01010744', 'LMGP01010579', 'LMGP01010575', 'LMGP01011448', 'LMGP01012146', 'LMGP01010578', 'LMGP01011787', 'LMGP01010576', 'LMGP01011372', 'LMGP01011529', 'LMGP01010005', 'LMGP01011807', 'LMGP01010581', 'LMGP01010884', 'LMGP01011419', 'LMGP01011397', 'LMGP01011335', 'LMGP01011483', 'LMGP01011732', 'LMGP01011760', 'LMGP01011503']",['NA'],14.7970331593335
PC 34:2,PC 34:2,"['LMGP01010887', 'LMGP01010688']",['DOPC'],12.1784875438214
PC 34:3,PC 34:3,"['LMGP01011838', 'LMGP01012127', 'LMGP01010690', 'LMGP01011530', 'LMGP01011677', 'LMGP01011560', 'LMGP01011399', 'LMGP01011374', 'LMGP01011646', 'LMGP01010601', 'LMGP01012192', 'LMGP01011620', 'LMGP01011868', 'LMGP01010598']",['NA'],0.478354940790106
PC 34:4,PC 34:4,"['LMGP01011899', 'LMGP01010606', 'LMGP01012193', 'LMGP01012209', 'LMGP01010604', 'LMGP01011400', 'LMGP01012066', 'LMGP01011337', 'LMGP01010608', 'LMGP01010963', 'LMGP01012128', 'LMGP01011706', 'LMGP01010699', 'LMGP01010603', 'LMGP01011485', 'LMGP01011484', 'LMGP01010506', 'LMGP01011678', 'LMGP01011647', 'LMGP01012132', 'LMGP01010731', 'LMGP01011869']",['NA'],0.989224047010366
PC 34:5,PC 34:5,"['LMGP01010692', 'LMGP01010508', 'LMGP01011707', 'LMGP01011900', 'LMGP01011401', 'LMGP01011928']",['NA'],0.202263314483973
PC 36:2,PC 36:2,"['LMGP01010849', 'LMGP01010890']","['DVPC', 'DOPC']",11.0910994845843
